user_number,TP,TN,FP,FN
0,0,412,1,0
1,0,359,1,0
2,0,356,1,0
3,0,354,1,0
4,0,355,1,0
5,0,354,1,0
6,0,354,1,0
7,0,354,1,0
8,0,366,1,0
9,0,355,1,0
10,0,354,1,0
11,0,355,1,0
12,0,363,1,0
13,0,355,1,0
14,0,408,1,0
15,0,357,2,0
16,0,355,1,0
17,2,144,88,0
18,0,342,1,0
19,0,355,1,0
20,0,354,1,0
21,0,489,1,0
22,0,355,1,0
23,0,354,1,0
24,0,340,1,0
25,0,355,1,0
26,0,356,1,0
27,0,357,1,0
28,0,353,2,0
29,0,355,1,0
30,0,500,1,0
31,9,346,0,0
32,0,354,1,0
33,0,354,1,0
34,0,354,1,0
35,0,355,1,0
36,0,354,1,0
37,0,354,1,0
38,0,355,1,0
39,0,354,1,0
40,0,23,1,0
41,0,354,1,0
42,0,432,1,0
43,0,355,1,0
44,0,354,1,0
45,0,502,1,0
46,0,354,1,0
47,0,354,1,0
48,0,354,1,0
49,0,354,1,0
50,0,485,1,0
51,0,355,1,0
52,0,354,1,0
53,0,357,1,0
54,0,354,1,0
55,0,355,1,0
56,0,355,1,0
57,0,355,1,0
58,0,354,1,0
59,0,355,1,0
60,0,366,1,0
61,0,363,1,0
62,0,354,1,0
63,0,354,1,0
64,0,354,1,0
65,0,488,1,0
66,0,354,1,0
67,0,355,1,0
68,0,354,1,0
69,0,355,1,0
70,0,355,1,0
71,0,381,1,0
72,0,357,1,0
73,0,354,1,0
74,0,354,1,0
75,0,354,1,0
76,0,354,1,0
77,0,354,1,0
78,0,354,1,0
79,0,356,1,0
80,0,354,1,0
81,0,354,1,0
82,0,355,1,0
83,0,354,1,0
84,0,355,1,0
85,0,495,1,0
86,0,354,1,0
87,0,354,1,0
88,0,354,1,0
89,0,354,1,0
90,0,354,1,0
91,0,354,1,0
92,0,356,1,0
93,2,170,3,0
94,3,290,8,0
95,0,354,1,0
96,0,312,1,0
97,0,354,1,0
98,0,354,2,0
99,0,354,1,0
100,11,347,0,0
101,0,354,1,0
102,0,355,1,0
103,0,356,1,0
104,0,354,1,0
105,0,355,1,0
106,0,281,1,0
107,0,354,1,0
108,0,354,1,0
109,0,355,1,0
110,0,355,1,0
111,0,354,1,0
112,0,354,1,0
113,0,354,1,0
114,0,355,1,0
115,0,354,1,0
116,0,355,1,0
117,0,354,1,0
118,0,354,1,0
119,0,354,1,0
120,0,355,1,0
121,0,354,1,0
122,0,354,1,0
123,0,354,1,0
124,0,466,1,0
125,0,502,1,0
126,0,355,1,0
127,0,354,1,0
128,0,355,1,0
129,0,355,1,0
130,0,356,1,0
131,0,355,1,0
132,0,355,1,0
133,0,354,1,0
134,0,354,1,0
135,0,354,1,0
136,8,347,0,0
137,10,345,0,0
138,0,355,1,0
139,0,354,1,0
140,0,356,1,0
141,0,355,1,0
142,0,355,1,0
143,0,354,1,0
144,0,469,1,0
145,0,354,1,0
146,0,355,1,0
147,0,355,1,0
148,0,354,1,0
149,0,354,1,0
150,0,446,1,0
151,0,354,1,0
152,0,354,1,0
153,0,436,1,0
154,0,354,1,0
155,0,437,1,0
156,0,356,1,0
157,0,355,1,0
158,0,136,1,0
159,0,356,1,0
160,0,354,1,0
161,0,354,1,0
162,2,221,1,0
163,0,355,1,0
164,0,354,1,0
165,0,354,1,0
166,0,354,1,0
167,0,355,1,0
168,0,63,1,0
169,0,355,1,0
170,0,355,1,0
171,0,356,2,0
172,0,354,1,0
173,0,356,1,0
174,0,354,1,0
175,0,354,1,0
176,0,362,1,0
177,0,354,1,0
178,0,354,1,0
179,0,354,1,0
180,0,354,1,0
181,0,354,1,0
182,0,354,1,0
183,0,437,1,0
184,0,357,1,0
185,0,354,1,0
186,0,410,1,0
187,0,356,1,0
188,0,356,1,0
189,0,354,1,0
190,0,362,1,0
191,0,354,1,0
192,0,355,1,0
193,0,371,1,0
194,0,428,1,0
195,0,354,1,0
196,0,354,1,0
197,0,355,1,0
198,0,355,1,0
199,0,354,1,0
200,14,276,75,1
201,0,354,1,0
202,0,355,1,0
203,0,354,1,0
204,0,354,1,0
205,0,356,1,0
206,0,356,1,0
207,0,360,1,0
208,0,356,1,0
209,0,496,1,0
210,0,354,1,0
211,0,354,1,0
212,0,354,1,0
213,0,354,1,0
214,0,356,1,0
215,0,355,1,0
216,0,358,1,0
217,0,354,1,0
218,0,354,1,0
219,0,354,1,0
220,0,488,1,0
221,0,355,1,0
222,0,356,1,0
223,0,354,1,0
224,0,359,1,0
225,0,355,1,0
226,0,354,1,0
227,0,354,1,0
228,0,355,1,0
229,0,354,1,0
230,0,353,2,0
231,0,353,2,0
232,0,106,2,0
233,0,355,1,0
234,0,355,1,0
235,0,143,1,0
236,0,355,1,0
237,0,354,1,0
238,0,354,1,0
239,0,354,1,0
